drug_name_raw,canonical_id,canonical_brand,canonical_generic,match_method,match_score
IBUPROFEN SODIUM,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN TABLETS,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN TEVA 400 MG,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN UNKNOWN PRODUCT,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN W/PSEUDOEPHEDRINE,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN.,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,94.7
IBUPROFEN/ DIPHENHYDRAMINE HYDROCHLO RIDE,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFENE ARROW,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
IBUPROFEN\LYSINE,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
INFANT ADVIL CONCENTRATED DROPS,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
JUNIOR STRENGTH ADVIL,IBUPROFEN,Advil/Motrin,Ibuprofen,manual_exact,100.0
KIRKLAND SIGNATURE IBUPROFEN,IBUPROFEN,Advil/Motrin,Ibuprofen,fuzzy,90.0
LIPITOR,ATORVASTATIN,Lipitor,Atorvastatin,manual_exact,100.0
LIPITOR (ATORVASTATIN CALCIUM),ATORVASTATIN,Lipitor,Atorvastatin,manual_exact,100.0
LIPITOR /NET/,ATORVASTATIN,Lipitor,Atorvastatin,fuzzy,90.0
METFORMIN,METFORMIN,Glucophage,Metformin,manual_exact,100.0
METFORMIN (METFORMIN HYDROCHLORIDE),METFORMIN,Glucophage,Metformin,fuzzy,90.0
METFORMIN (METFORMIN),METFORMIN,Glucophage,Metformin,fuzzy,90.0
METFORMIN (METFORMIN) (METFORMIN),METFORMIN,Glucophage,Metformin,fuzzy,90.0
METFORMIN (NON AZ),METFORMIN,Glucophage,Metformin,fuzzy,90.0
METFORMIN (NON-AZ),METFORMIN,Glucophage,Metformin,fuzzy,90.0
METFORMIN (UNKNOWN),METFORMIN,Glucophage,Metformin,fuzzy,90.0
METFORMIN + GLIBENCLAMIDE,METFORMIN,Glucophage,Metformin,fuzzy,90.0
METFORMIN /00082702/,METFORMIN,Glucophage,Metformin,fuzzy,90.0
METFORMIN 1000 MG/KG,METFORMIN,Glucophage,Metformin,fuzzy,90.0
METFORMIN 1000MG,METFORMIN,Glucophage,Metformin,fuzzy,90.0
METFORMIN 1A PHARMA,METFORMIN,Glucophage,Metformin,fuzzy,90.0
METFORMIN 500 MG,METFORMIN,Glucophage,Metformin,fuzzy,90.0
METFORMIN ACTAVIS,METFORMIN,Glucophage,Metformin,fuzzy,90.0
METFORMIN DURA 1000 MG FILMTABLETTEN,METFORMIN,Glucophage,Metformin,fuzzy,90.0
METFORMIN ER,METFORMIN,Glucophage,Metformin,fuzzy,95.0
METFORMIN HCL,METFORMIN,Glucophage,Metformin,manual_exact,100.0
METFORMIN HCL TABS,METFORMIN,Glucophage,Metformin,fuzzy,95.0
METFORMIN HCL XR (NON-AZ PRODUCT),METFORMIN,Glucophage,Metformin,fuzzy,90.0
METFORMIN HYDROCHLORIDE,METFORMIN,Glucophage,Metformin,manual_exact,100.0
